title,abstract,keywords,discipline,gold_keywords,id,text
Web对象流行度的数学建模方法,"Web对象的流行度满足Zipf分布.利用Zipf第一定律和Zipf第二定律建立Web对象访问流行度模型.对于访问频率较高的Web对象,利用Zipf第一定律建模;而对于访问频率较低的Web对象,则使用Zipf第二定律进行描述.该模型为分析和模拟Web用户访问行为提供了依据.",Web缓存_齐普夫定律_流行度建模,计算机科学与技术,Web缓存_齐普夫定律_流行度建模,5278,"Web对象流行度的数学建模方法 Web对象的流行度满足Zipf分布.利用Zipf第一定律和Zipf第二定律建立Web对象访问流行度模型.对于访问频率较高的Web对象,利用Zipf第一定律建模;而对于访问频率较低的Web对象,则使用Zipf第二定律进行描述.该模型为分析和模拟Web用户访问行为提供了依据."
一种统计降维和Kohonen网络相结合的文本聚类方法,"提出了一种基于词条互信息(WMI)值的统计降维和Kohonen网络(SOFM网)相结合的文本聚类方法,WMI值的方法侧重考虑文本特征项之间的互信息进行降维,可提高特征选择的效率,并使其更趋实用化.采用Kohonen网络进行文本聚类,其学习率函数是随时间单调下降的退火函数,实验结果表明了这种结合方法较一般的降维方法得到的聚类结果具有较高的聚类精度.",词条互信息_统计降维_Kohonen网络_文本聚类,计算机科学与技术,词条互信息_统计降维_Kohonen网络_文本聚类,748,"一种统计降维和Kohonen网络相结合的文本聚类方法 提出了一种基于词条互信息(WMI)值的统计降维和Kohonen网络(SOFM网)相结合的文本聚类方法,WMI值的方法侧重考虑文本特征项之间的互信息进行降维,可提高特征选择的效率,并使其更趋实用化.采用Kohonen网络进行文本聚类,其学习率函数是随时间单调下降的退火函数,实验结果表明了这种结合方法较一般的降维方法得到的聚类结果具有较高的聚类精度."
基于心理声学模型的多码率零树小波音频压缩方法,"MPEG-4音频编码标准不仅对码率和音质提出了更高的要求,而且还要求编码器具有多种功能以满足各种不同应用的需要.该文利用不同尺度小波系数间的自相似特性和人耳的掩蔽效应,提出了一种基于心理声学模型的零树小波音频编码算法.该算法不仅可在低码率(56kb/s)上得到透明质量的CD音频信号,而且可产生嵌入式码流,在最优意义上支持多码率的可分级编码,是一种很有前途的适用于多媒体通信等领域的编码方案.",音频编码_小波变换_心理声学模型_零树_可分级性,计算机科学与技术,音频编码_小波变换_心理声学模型_零树_可分级性,1608,"基于心理声学模型的多码率零树小波音频压缩方法 MPEG-4音频编码标准不仅对码率和音质提出了更高的要求,而且还要求编码器具有多种功能以满足各种不同应用的需要.该文利用不同尺度小波系数间的自相似特性和人耳的掩蔽效应,提出了一种基于心理声学模型的零树小波音频编码算法.该算法不仅可在低码率(56kb/s)上得到透明质量的CD音频信号,而且可产生嵌入式码流,在最优意义上支持多码率的可分级编码,是一种很有前途的适用于多媒体通信等领域的编码方案."
一种新的基于复合弹簧网络的多Agent系统分布式问题求解方法,"当多Agent系统 (MAS)中Agent之间存在多种复杂的随机的社会交互行为时, 当各Agent表现出不同程度的自治性和理性时,难以用现有的方法描述和求解MAS问题.即使对于仅仅存在竞争和合作这两种社会交互行为,并且不考虑Agent之间自治程度的本质性差异时,现有的基于结盟的MAS问题求解算法也具有极高的计算复杂性.该文提出一种新的复合弹簧网络模型和方法,利用分布式弹性动力学方程,将MAS分布式问题求解过程转变为对应的复合弹簧网络形变过程.这种模型和方法能够处理各种社会交互行为以及Agent不同程度的自治性.分析和仿真实验表明,在计算复杂性和适用性等许多方面,该文的分布并行算法优于文献[7,8]的Shehory-Kraus算法.",多Agent系统_分布式问题求解_社会行为_弹簧网络_结盟算法,计算机科学与技术,多Agent系统_分布式问题求解_社会行为_弹簧网络_结盟算法,4015,"一种新的基于复合弹簧网络的多Agent系统分布式问题求解方法 当多Agent系统 (MAS)中Agent之间存在多种复杂的随机的社会交互行为时, 当各Agent表现出不同程度的自治性和理性时,难以用现有的方法描述和求解MAS问题.即使对于仅仅存在竞争和合作这两种社会交互行为,并且不考虑Agent之间自治程度的本质性差异时,现有的基于结盟的MAS问题求解算法也具有极高的计算复杂性.该文提出一种新的复合弹簧网络模型和方法,利用分布式弹性动力学方程,将MAS分布式问题求解过程转变为对应的复合弹簧网络形变过程.这种模型和方法能够处理各种社会交互行为以及Agent不同程度的自治性.分析和仿真实验表明,在计算复杂性和适用性等许多方面,该文的分布并行算法优于文献[7,8]的Shehory-Kraus算法."
基于改进ORB算法的虚实注册方法,"针对增强现实(AR)中虚实注册的精度和实时性易受图像纹理和不均匀光照影响的问题,提出一种改进的ORB算法予以解决.首先,设置ORB特征点数量和距离阈值对图像特征点稠密区域进行优化,利用并行算法保留特征值较大的N个特征点;然后,采用离散差异特征增强光照不均匀变化时的稳定性,将改进的ORB与词袋(BOF)模型结合,实现基准图像的快速检索;最后,利用图像间的单应性关系实现虚实注册.从准确性和实时性两方面对提出的改进ORB算法与原始ORB算法、尺度不变特征变换(SIFT)算法和加速稳健特征(SURF)算法进行了对比实验分析,结果显示改进ORB算法的注册时间平均降低了约40％,准确性达到了95％以上.实验结果表明,所提出的算法在不同纹理和不均匀光照的情况下,具有更高的实时性、准确性.",增强现实_自然特征_并行算法_单应性矩阵_实时注册,计算机科学与技术,增强现实_自然特征_并行算法_单应性矩阵_实时注册,6488,"基于改进ORB算法的虚实注册方法 针对增强现实(AR)中虚实注册的精度和实时性易受图像纹理和不均匀光照影响的问题,提出一种改进的ORB算法予以解决.首先,设置ORB特征点数量和距离阈值对图像特征点稠密区域进行优化,利用并行算法保留特征值较大的N个特征点;然后,采用离散差异特征增强光照不均匀变化时的稳定性,将改进的ORB与词袋(BOF)模型结合,实现基准图像的快速检索;最后,利用图像间的单应性关系实现虚实注册.从准确性和实时性两方面对提出的改进ORB算法与原始ORB算法、尺度不变特征变换(SIFT)算法和加速稳健特征(SURF)算法进行了对比实验分析,结果显示改进ORB算法的注册时间平均降低了约40％,准确性达到了95％以上.实验结果表明,所提出的算法在不同纹理和不均匀光照的情况下,具有更高的实时性、准确性."
面向无线传感器网络应用的自适应调试方法,"传感网技术是物联网得以实现的重要基础.然而,受到资源有限以及程序行为不确定等因素的影响,无线传感器网络上编程和调试的难度尤甚于普通的分布式程序.文中提出了一种面向无线传感器网络程序的源码级错误诊断方法.该方法采用基于全局量计数器的方法进行程序追踪,然后根据追踪日志重放错误执行轨迹,支持属性违反错误的分析和调试.同时,通过依赖分析确定与属性相关的程序片段,并根据系统资源约束以及用户反馈,自适应调整追踪这些程序片段的代码,以满足系统资源的限制,支持错误定位.文中以Open64编译器为基础,实现了一个针对TinyOS操作系统中nesC程序错误诊断的原型系统.实验数据表明,此方法能够有效地控制确定性重放技术的时空开销,有力地支持了无线传感器网络程序中属性违反类型错误的诊断.",物联网_无线传感器网络_依赖分析_确定性重放_调试,计算机科学与技术,物联网_无线传感器网络_依赖分析_确定性重放_调试,4119,"面向无线传感器网络应用的自适应调试方法 传感网技术是物联网得以实现的重要基础.然而,受到资源有限以及程序行为不确定等因素的影响,无线传感器网络上编程和调试的难度尤甚于普通的分布式程序.文中提出了一种面向无线传感器网络程序的源码级错误诊断方法.该方法采用基于全局量计数器的方法进行程序追踪,然后根据追踪日志重放错误执行轨迹,支持属性违反错误的分析和调试.同时,通过依赖分析确定与属性相关的程序片段,并根据系统资源约束以及用户反馈,自适应调整追踪这些程序片段的代码,以满足系统资源的限制,支持错误定位.文中以Open64编译器为基础,实现了一个针对TinyOS操作系统中nesC程序错误诊断的原型系统.实验数据表明,此方法能够有效地控制确定性重放技术的时空开销,有力地支持了无线传感器网络程序中属性违反类型错误的诊断."
运用神经网络对音频数据索引的最优基的选择,"在详细探讨了反向传播训练算法之后,提出了用神经网络选择音频数据索引最优基的方法.该方法用小波变换抽取音频信号的关键系数,根据四层小波包二分树确定输出神经元的数量与含义,用Levenberg-Marquardt修正反向传播算法构造与训练了一个32-8-8人工神经网络.试验表明,可以用该神经网络代替复杂的代价函数方法来选择音频数据索引的最优基.",音频数据索引_小波包变换_最优基_反向传播算法,计算机科学与技术,音频数据索引_小波包变换_最优基_反向传播算法,4923,"运用神经网络对音频数据索引的最优基的选择 在详细探讨了反向传播训练算法之后,提出了用神经网络选择音频数据索引最优基的方法.该方法用小波变换抽取音频信号的关键系数,根据四层小波包二分树确定输出神经元的数量与含义,用Levenberg-Marquardt修正反向传播算法构造与训练了一个32-8-8人工神经网络.试验表明,可以用该神经网络代替复杂的代价函数方法来选择音频数据索引的最优基."
Legendre矩的一种有效算法,"Legendre正交矩在模式识别、图像分析等许多领域有成功的应用.然而,由于正交矩的复杂性,目前有关正交矩快速算法的研究很少,从而在一定程度上影响了它的应用.对此,作者对Legendre多项式进行了研究,获得了一些新的有效的性质,它们能够显著地减少矩计算中的运算量.",Legendre多项式_正交矩_快速算法,计算机科学与技术,Legendre多项式_正交矩_快速算法,353,"Legendre矩的一种有效算法 Legendre正交矩在模式识别、图像分析等许多领域有成功的应用.然而,由于正交矩的复杂性,目前有关正交矩快速算法的研究很少,从而在一定程度上影响了它的应用.对此,作者对Legendre多项式进行了研究,获得了一些新的有效的性质,它们能够显著地减少矩计算中的运算量."
基于Labeled-LDA模型的文本分类新算法,"LDA(Latent Dirichlet Allocation)模型是近年来提出的一种能够提取文本隐含主题的非监督学习模型.通过在传统LDA模型中融入文本类别信息,文中提出了一种附加类别标签的LDA模型(Labeled-LDA).基于该模型可以在各类别上协同计算隐含主题的分配量,从而克服了传统LDA模型用于分类时强制分配隐含主题的缺陷.与传统LDA模型的实验对比表明:基于Labeled-LDA模型的文本分类新算法可以有效改进文本分类的性能,在复旦大学中文语料库上micro_F1提高约5.7%,在英文语料库20newsgroup的comp子集上micro_F1提高约3%.",文本分类_图模型_隐含狄利克雷分配_变分推断,计算机科学与技术,文本分类_图模型_隐含狄利克雷分配_变分推断,2651,"基于Labeled-LDA模型的文本分类新算法 LDA(Latent Dirichlet Allocation)模型是近年来提出的一种能够提取文本隐含主题的非监督学习模型.通过在传统LDA模型中融入文本类别信息,文中提出了一种附加类别标签的LDA模型(Labeled-LDA).基于该模型可以在各类别上协同计算隐含主题的分配量,从而克服了传统LDA模型用于分类时强制分配隐含主题的缺陷.与传统LDA模型的实验对比表明:基于Labeled-LDA模型的文本分类新算法可以有效改进文本分类的性能,在复旦大学中文语料库上micro_F1提高约5.7%,在英文语料库20newsgroup的comp子集上micro_F1提高约3%."
面向SIMD机器的全局自动数据分割,"提出了一种面向SIMD机器的全局数据自动分割算法,该算法能处理多个非紧嵌的循环嵌套,并且数组下标存取式为循环变量的线性式.首先通过数据与迭代映射抽象出计算中的通信方式,然后提出识别规则模式通信模式的形式化条件.接着建立包含对准信息和相应通信开销的数据迭代图,并在数据迭代图的基础上提出一个启发式算法来计算较优的数据分布和迭代分布,以优化处理单元之间的通信开销.通过分析多个循环嵌套所涉及的多个数组映射和迭代映射之间复杂的相互制约关系,从全局的角度求得一个较优的数据迭代分布方案.该算法已经用于面向SIMD机器的自动并行编译器的设计和实现中.实验结果表明,它在减少通信开销上有着显著的成效.",数据分布_迭代分布_规则模式通信,计算机科学与技术,数据分布_迭代分布_规则模式通信,4032,"面向SIMD机器的全局自动数据分割 提出了一种面向SIMD机器的全局数据自动分割算法,该算法能处理多个非紧嵌的循环嵌套,并且数组下标存取式为循环变量的线性式.首先通过数据与迭代映射抽象出计算中的通信方式,然后提出识别规则模式通信模式的形式化条件.接着建立包含对准信息和相应通信开销的数据迭代图,并在数据迭代图的基础上提出一个启发式算法来计算较优的数据分布和迭代分布,以优化处理单元之间的通信开销.通过分析多个循环嵌套所涉及的多个数组映射和迭代映射之间复杂的相互制约关系,从全局的角度求得一个较优的数据迭代分布方案.该算法已经用于面向SIMD机器的自动并行编译器的设计和实现中.实验结果表明,它在减少通信开销上有着显著的成效."
